time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2020-12-19 00:00:00+00:00,182,74.4,51.0,1.368,3.088,1.368,3.088
2020-12-19 00:10:00+00:00,182,74.0,50.4,1.972,4.152,1.972,4.152
2020-12-19 00:20:00+00:00,182,74.2,50.8,2.416,4.388,2.416,4.388
2020-12-19 00:30:00+00:00,182,74.2,51.0,1.544,3.536,1.544,3.536
2020-12-19 00:40:00+00:00,182,73.8,51.0,1.632,3.068,1.632,3.068
2020-12-19 00:50:00+00:00,182,73.6,51.0,1.802,2.382,1.802,2.382
2020-12-19 01:00:00+00:00,182,74.0,51.0,1.352,1.828,1.352,1.828
2020-12-19 01:10:00+00:00,182,74.0,51.0,1.234,1.494,1.234,1.494
2020-12-19 01:20:00+00:00,182,74.0,51.0,1.098,1.88,1.098,1.88
2020-12-19 01:30:00+00:00,182,74.0,51.0,1.06,1.466,1.06,1.466
2020-12-19 01:40:00+00:00,182,74.0,51.0,0.748,0.948,0.748,0.948
2020-12-19 01:50:00+00:00,182,74.0,51.0,0.888,1.012,0.888,1.012
2020-12-19 02:00:00+00:00,182,73.4,52.0,0.35,0.868,0.35,0.868
2020-12-19 02:10:00+00:00,182,73.0,52.0,0.386,0.632,0.386,0.632
2020-12-19 02:20:00+00:00,182,72.8,51.4,0.446,0.47,0.446,0.47
2020-12-19 02:30:00+00:00,182,73.2,51.8,0.736,1.014,0.736,1.014
2020-12-19 02:40:00+00:00,182,73.4,52.0,0.898,0.92,0.898,0.92
2020-12-19 02:50:00+00:00,182,73.2,52.0,0.662,0.71,0.662,0.71
2020-12-19 03:00:00+00:00,182,73.2,52.0,0.326,0.448,0.326,0.448
2020-12-19 03:10:00+00:00,182,73.4,52.0,0.278,0.442,0.278,0.442
2020-12-19 03:20:00+00:00,182,73.4,52.2,0.388,0.558,0.388,0.558
2020-12-19 03:30:00+00:00,182,72.8,53.0,1.726,1.912,1.726,1.912
2020-12-19 03:40:00+00:00,182,72.0,53.0,0.182,0.332,0.182,0.332
2020-12-19 03:50:00+00:00,182,72.0,53.0,0.562,0.858,0.562,0.858
2020-12-19 04:00:00+00:00,182,71.2,53.0,0.344,0.542,0.344,0.542
2020-12-19 04:10:00+00:00,182,71.8,52.8,0.562,1.166,0.562,1.166
2020-12-19 04:20:00+00:00,182,71.8,53.0,0.398,0.628,0.398,0.628
2020-12-19 04:30:00+00:00,182,72.0,52.4,0.682,0.672,0.682,0.672
2020-12-19 04:40:00+00:00,182,72.4,52.6,0.078,0.282,0.078,0.282
2020-12-19 04:50:00+00:00,182,72.2,53.0,0.27,0.254,0.27,0.254
2020-12-19 05:00:00+00:00,182,72.0,52.8,0.966,0.85,0.966,0.85
2020-12-19 05:10:00+00:00,182,72.2,52.8,2.408,2.978,2.408,2.978
2020-12-19 05:20:00+00:00,182,71.0,52.4,0.1,0.112,0.1,0.112
2020-12-19 05:30:00+00:00,182,70.6,51.6,0.0,0.014,0.0,0.014
2020-12-19 05:40:00+00:00,182,69.8,51.0,0.0,0.136,0.0,0.136
2020-12-19 05:50:00+00:00,182,68.4,51.0,0.042,0.058,0.042,0.058
2020-12-19 06:00:00+00:00,182,67.0,51.2,0.016,0.0,0.016,0.0
2020-12-19 06:10:00+00:00,182,66.2,51.4,0.03,0.0,0.03,0.0
2020-12-19 06:20:00+00:00,182,65.4,51.8,0.0,0.034,0.0,0.034
2020-12-19 06:30:00+00:00,182,65.0,51.6,0.052,0.0,0.052,0.0
2020-12-19 06:40:00+00:00,182,65.2,51.4,0.048,0.0,0.048,0.0
2020-12-19 06:50:00+00:00,182,65.2,51.4,0.042,0.104,0.042,0.104
2020-12-19 07:00:00+00:00,182,64.6,51.2,0.096,0.05,0.096,0.05
2020-12-19 07:10:00+00:00,182,64.0,51.0,0.06,0.184,0.06,0.184
2020-12-19 07:20:00+00:00,182,63.4,51.0,0.108,0.384,0.108,0.384
2020-12-19 07:30:00+00:00,182,62.8,51.0,0.174,0.212,0.174,0.212
2020-12-19 07:40:00+00:00,182,62.0,51.4,0.33,0.296,0.33,0.296
2020-12-19 07:50:00+00:00,182,61.6,51.6,0.026,0.116,0.026,0.116
2020-12-19 08:00:00+00:00,182,61.0,52.0,0.214,0.182,0.214,0.182
2020-12-19 08:10:00+00:00,182,60.4,52.0,0.024,0.176,0.024,0.176
2020-12-19 08:20:00+00:00,182,60.6,52.0,0.248,0.328,0.248,0.328
2020-12-19 08:30:00+00:00,182,60.0,53.0,0.216,0.248,0.216,0.248
2020-12-19 08:40:00+00:00,182,60.0,52.4,0.212,0.234,0.212,0.234
2020-12-19 08:50:00+00:00,182,60.2,52.0,0.26,0.368,0.26,0.368
2020-12-19 09:00:00+00:00,182,60.0,52.0,0.254,0.258,0.254,0.258
2020-12-19 09:10:00+00:00,182,60.0,52.0,0.382,0.304,0.382,0.304
2020-12-19 09:20:00+00:00,182,60.0,52.0,0.092,0.36,0.092,0.36
2020-12-19 09:30:00+00:00,182,60.0,52.8,0.24,0.332,0.24,0.332
2020-12-19 09:40:00+00:00,182,60.0,52.2,0.376,0.568,0.376,0.568
2020-12-19 09:50:00+00:00,182,60.4,52.4,0.204,0.166,0.204,0.166
2020-12-19 10:00:00+00:00,182,60.0,52.6,0.342,0.472,0.342,0.472
2020-12-19 10:10:00+00:00,182,60.8,53.0,0.466,0.582,0.466,0.582
2020-12-19 10:20:00+00:00,182,61.2,52.8,0.268,0.69,0.268,0.69
2020-12-19 10:30:00+00:00,182,62.0,52.4,0.43,0.492,0.43,0.492
2020-12-19 10:40:00+00:00,182,61.2,51.8,0.374,0.424,0.374,0.424
2020-12-19 10:50:00+00:00,182,60.4,51.8,0.314,0.49,0.314,0.49
2020-12-19 11:00:00+00:00,182,59.6,52.0,0.314,0.472,0.314,0.472
2020-12-19 11:10:00+00:00,182,58.2,52.0,0.278,0.52,0.278,0.52
2020-12-19 11:20:00+00:00,182,57.8,52.0,0.276,0.262,0.276,0.262
2020-12-19 11:30:00+00:00,182,57.0,51.8,0.316,0.156,0.316,0.156
2020-12-19 11:40:00+00:00,182,57.8,51.6,0.128,0.27,0.128,0.27
